SR_NO,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
23,NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672
24,FDC37,12.85764518,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876
25,FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025
26,NCD06,13,Low Fat,0.099887103,Household,45.906,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908
27,FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
28,DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312
29,FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Medium,Tier 3,Grocery Store,178.4344
30,FDC14,12.85764518,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362
31,FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,1998,Medium,Tier 3,Grocery Store,163.7868
32,NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644
33,FDP33,18.7,Low Fat,0,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064
34,FDO23,17.85,Low Fat,0,Breads,93.1436,OUT045,2002,Medium,Tier 2,Supermarket Type1,2174.5028
35,DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856
36,NCX29,10,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652
37,FDV20,12.85764518,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916
38,DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044
39,FDX10,12.85764518,Regular,0.123111453,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614
40,FDB34,12.85764518,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495
41,FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
42,FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534
43,FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768
44,FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228
45,FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138
46,FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,1998,Medium,Tier 3,Grocery Store,358.2004
47,NCP05,19.6,Low Fat,0,Health and Hygiene,153.3024,OUT045,2002,Medium,Tier 2,Supermarket Type1,2428.8384
48,FDV49,10,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Medium,Tier 2,Supermarket Type1,5815.0972
49,FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646
50,FDS02,12.85764518,Regular,0.255394896,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176
51,NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864
52,FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924
53,FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444
54,FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Medium,Tier 2,Supermarket Type1,3121.2704
55,NCP18,12.15,Low Fat,0.028760013,Household,151.4708,OUT017,2007,Medium,Tier 2,Supermarket Type1,4815.0656
56,FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
57,NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,Medium,Tier 2,Supermarket Type1,2117.244
58,DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626
59,FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275
60,FDI26,12.85764518,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172
61,FDM20,10,Low Fat,0,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872
62,FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,Medium,Tier 2,Supermarket Type1,1062.6168
63,FDF09,12.85764518,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024
64,FDY40,12.85764518,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076
65,FDY45,12.85764518,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356
66,FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Medium,Tier 3,Grocery Store,184.4266
67,FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664
68,FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Medium,Tier 2,Supermarket Type1,1118.544
69,DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Medium,Tier 2,Supermarket Type1,2302.3364
70,NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361
71,FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
72,FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
73,FDH35,18.25,Low Fat,0,Starchy Foods,164.7526,OUT045,2002,Medium,Tier 2,Supermarket Type1,4604.6728
74,FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Medium,Tier 2,Supermarket Type1,2285.0256
75,NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356
76,FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352
77,FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954
78,FDN48,12.85764518,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628
79,FDL04,19,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1587.933
80,FDV25,5.905,Low Fat,0,Canned,222.5456,OUT045,2002,Medium,Tier 2,Supermarket Type1,5305.0944
81,FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
82,FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752
83,FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
84,NCL18,12.85764518,Low Fat,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408
85,FDR12,12.85764518,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752
86,FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Medium,Tier 2,Supermarket Type1,2479.4392
87,FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464
88,FDQ49,12.85764518,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723
89,FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052
90,FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504
91,FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,Medium,Tier 3,Grocery Store,369.519
92,DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346
93,DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Medium,Tier 2,Supermarket Type1,1381.535
94,FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523
95,NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412
96,FDU04,12.85764518,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656
97,FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
98,FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
99,NCP18,12.85764518,Low Fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532
100,FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892
101,FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Medium,Tier 2,Supermarket Type1,1805.6496
102,FDD10,12.85764518,Regular,0.045797829,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504
103,FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616
104,DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974
105,FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853
106,FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408
107,FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331
108,FDG12,6.635,Regular,0,Baking Goods,121.3098,OUT045,2002,Medium,Tier 2,Supermarket Type1,2530.7058
109,DRE60,12.85764518,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.116
110,DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.276
111,FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09
112,FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Medium,Tier 2,Supermarket Type1,2732.4432
113,FDW39,12.85764518,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437
114,FDX34,12.85764518,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332
115,FDV11,9.1,Regular,0,Breads,173.2054,OUT045,2002,Medium,Tier 2,Supermarket Type1,3151.8972
116,FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265
117,FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Medium,Tier 2,Supermarket Type1,4843.695
118,FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244
119,DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Medium,Tier 2,Supermarket Type1,2552.6772
120,FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847
121,NCF19,13,Low Fat,0.035307322,Household,47.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,680.4476
122,DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Medium,Tier 2,Supermarket Type1,2085.9514
123,FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,1998,Medium,Tier 3,Grocery Store,186.424
124,FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048
125,FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,2007,Medium,Tier 2,Supermarket Type1,866.8716
126,FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869
127,DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864
128,FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,Medium,Tier 2,Supermarket Type1,928.1252
129,DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341
130,NCP30,20.5,Low Fat,0.032835147,Household,40.2822,OUT045,2002,Medium,Tier 2,Supermarket Type1,707.0796
131,FDY25,12.85764518,Low Fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944
132,NCH54,13.5,Low Fat,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128
133,NCR53,12.85764518,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524
134,FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Medium,Tier 3,Grocery Store,101.2016
135,FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094
136,NCO26,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364
137,FDH35,12.85764518,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832
138,FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,2002,Medium,Tier 2,Supermarket Type1,1314.2892
139,FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,Medium,Tier 2,Supermarket Type1,535.3032
140,NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,1998,Medium,Tier 3,Grocery Store,263.6568
141,NCC31,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748
142,NCX54,9.195,Low Fat,0.048331717,Household,105.1622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1693.7952
143,NCO55,12.8,Low Fat,0.091221855,Others,105.5938,OUT045,2002,Medium,Tier 2,Supermarket Type1,2143.876
144,NCC30,16.6,Low Fat,0.027622076,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516
145,FDI16,14,Regular,0,Frozen Foods,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488
146,FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406
147,FDB11,16,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312
148,NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
149,FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311
150,NCO26,7.235,Low Fat,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364
151,DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,2007,Medium,Tier 2,Supermarket Type1,1034.6532
152,FDR28,13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331
153,FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964
154,DRK12,12.85764518,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83
155,FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208
156,NCI18,18.35,Low Fat,0.014081156,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936
157,FDB36,5.465,Regular,0,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252
158,FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,2007,Medium,Tier 2,Supermarket Type1,1910.1802
159,DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,2007,Medium,Tier 2,Supermarket Type1,1701.7848
160,FDQ28,14,Regular,0.060376776,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496
161,FDM22,14,Regular,0.04192285,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6
162,FDR07,12.85764518,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786
163,FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684
164,DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914
165,FDW51,6.155,Regular,0.094659871,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728
166,DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,2007,Medium,Tier 2,Supermarket Type1,5375.0034
167,FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,2007,Medium,Tier 2,Supermarket Type1,2838.9712
168,FDL50,12.15,Regular,0.042485444,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644
169,NCB30,12.85764518,Low Fat,0.025578526,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352
170,FDW11,12.6,Low Fat,0.0489808,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194
171,NCM43,14.5,Low Fat,0.019471688,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573
172,FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,2007,Medium,Tier 2,Supermarket Type1,3823.0236
173,FDM15,11.8,Regular,0.057373797,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294
174,FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996
175,FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998,Medium,Tier 3,Grocery Store,345.5502
176,FDR47,17.85,Low Fat,0,Breads,196.5794,OUT010,1998,Medium,Tier 3,Grocery Store,585.2382
177,FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,2002,Medium,Tier 2,Supermarket Type1,1010.6844
178,NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,1998,Medium,Tier 3,Grocery Store,161.1236
179,DRY23,12.85764518,Regular,0.191013663,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,42.6112
180,FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,2002,Medium,Tier 2,Supermarket Type1,3010.7476
181,FDQ28,12.85764518,Regular,0.060134441,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584
182,FDV39,11.3,Low Fat,0.007294652,Meat,198.1426,OUT045,2002,Medium,Tier 2,Supermarket Type1,988.713
183,NCO17,12.85764518,Low Fat,0.128478462,Health and Hygiene,117.944,OUT019,1985,Small,Tier 1,Grocery Store,239.688
184,FDU50,5.75,Regular,0.075107656,Dairy,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112
185,FDT12,12.85764518,Regular,0.049381406,Baking Goods,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.8302
186,FDK58,11.35,Regular,0.045165796,Snack Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.016
187,FDO08,12.85764518,Regular,0.09415375,Fruits and Vegetables,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,657.8104
188,NCW29,14,Low Fat,0.028907832,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.986
189,FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,2002,Medium,Tier 2,Supermarket Type1,2336.958
190,NCB19,6.525,Low Fat,0.090436094,Household,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0932
191,FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.8368
192,FDL58,5.78,Regular,0.074264356,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224
193,FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,OUT045,2002,Medium,Tier 2,Supermarket Type1,3124.5994
194,FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916
195,NCX06,12.85764518,Low Fat,0.01561108,Household,182.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.7328
196,FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296
197,FDB41,19,Regular,0.097313129,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078
198,NCN55,14.6,Low Fat,0.059582996,Others,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845
199,FDE40,12.85764518,Regular,0.098663652,Dairy,62.9194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.2596
200,FDX49,12.85764518,Regular,0.101338651,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69
201,NCM53,18.75,Low Fat,0.052146456,Health and Hygiene,104.628,OUT045,2002,Medium,Tier 2,Supermarket Type1,745.696
202,FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868,OUT035,2004,Small,Tier 2,Supermarket Type1,3275.736
203,FDN57,18.25,Low Fat,0.054344186,Snack Foods,140.2154,OUT045,2002,Medium,Tier 2,Supermarket Type1,1701.7848
204,FDI24,12.85764518,Low Fat,0.078362484,Baking Goods,177.937,OUT027,1985,Medium,Tier 3,Supermarket Type3,6704.606
205,FDI19,15.1,Low Fat,0.052339069,Meat,242.7512,OUT046,1997,Small,Tier 1,Supermarket Type1,4119.9704
206,FDF24,15.5,Regular,0.042464962,Baking Goods,81.5934,OUT010,1998,Medium,Tier 3,Grocery Store,327.5736
207,FDG52,13.65,Low Fat,0.065732883,Frozen Foods,45.7402,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.9834
208,DRF36,16.1,Low Fat,0.023625114,Soft Drinks,189.3846,OUT045,2002,Medium,Tier 2,Supermarket Type1,3630.6074
209,FDS45,12.85764518,Regular,0.051643608,Snack Foods,107.3622,OUT019,1985,Small,Tier 1,Grocery Store,317.5866
210,FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,OUT010,1998,Medium,Tier 3,Grocery Store,231.6984
